<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECN1022.PL,D,20171219,000000,100.29,100.29,100.29,100.29,70,0
ECN1022.PL,D,20171220,000000,100.1,100.29,100,100.29,471,0
ECN1022.PL,D,20171221,000000,100,100.29,99.8,100.29,484,0
ECN1022.PL,D,20171227,000000,99.81,100.29,99.8,100.29,134,0
ECN1022.PL,D,20180104,000000,100.03,100.4,100.03,100.37,191,0
ECN1022.PL,D,20180105,000000,100.37,100.37,100.37,100.37,10,0
ECN1022.PL,D,20180108,000000,100.37,100.37,100.37,100.37,1102,0
ECN1022.PL,D,20180110,000000,100.37,100.37,100.37,100.37,96,0
ECN1022.PL,D,20180111,000000,100.4,100.48,100.07,100.48,72,0
ECN1022.PL,D,20180115,000000,100.29,100.3,100.29,100.3,1114,0
ECN1022.PL,D,20180117,000000,100.29,100.29,100.11,100.11,493,0
ECN1022.PL,D,20180119,000000,100.29,100.29,100.29,100.29,40,0
ECN1022.PL,D,20180122,000000,100.1,100.1,100.1,100.1,42,0
ECN1022.PL,D,20180124,000000,100.1,100.1,100.1,100.1,290,0
ECN1022.PL,D,20180126,000000,100.29,100.29,100.29,100.29,1076,0
ECN1022.PL,D,20180129,000000,100.1,100.1,100.1,100.1,100,0
ECN1022.PL,D,20180130,000000,100.24,100.24,100.24,100.24,25,0
ECN1022.PL,D,20180202,000000,100.22,100.22,100.22,100.22,50,0
ECN1022.PL,D,20180205,000000,100.1,100.21,99.7,99.9,1770,0
ECN1022.PL,D,20180206,000000,99.9,99.9,99.63,99.7,822,0
ECN1022.PL,D,20180207,000000,99.7,100.21,99.7,100.2,397,0
ECN1022.PL,D,20180212,000000,100.2,100.2,100.2,100.2,181,0
ECN1022.PL,D,20180213,000000,100.23,100.23,100.23,100.23,15,0
ECN1022.PL,D,20180214,000000,100.22,100.22,100.22,100.22,70,0
ECN1022.PL,D,20180215,000000,100.22,100.22,100.22,100.22,493,0
ECN1022.PL,D,20180216,000000,100.22,100.25,100.22,100.25,3728,0
ECN1022.PL,D,20180219,000000,100.25,100.25,100.25,100.25,200,0
ECN1022.PL,D,20180220,000000,100.25,100.25,100.25,100.25,60,0
ECN1022.PL,D,20180222,000000,100,100,100,100,1000,0
ECN1022.PL,D,20180223,000000,100.22,100.23,100.22,100.23,150,0
ECN1022.PL,D,20180226,000000,100.23,100.23,100.23,100.23,15,0
ECN1022.PL,D,20180227,000000,100.21,100.21,100.21,100.21,20,0
ECN1022.PL,D,20180308,000000,99.5,100.18,99.5,100.18,93,0
ECN1022.PL,D,20180319,000000,99.81,100.17,99.81,100.17,258,0
ECN1022.PL,D,20180321,000000,99.97,99.97,99.97,99.97,192,0
ECN1022.PL,D,20180322,000000,100.16,100.16,100.16,100.16,12,0
ECN1022.PL,D,20180327,000000,100.11,100.12,100.11,100.12,101,0
ECN1022.PL,D,20180329,000000,99.56,100.11,99.56,100.11,60,0
ECN1022.PL,D,20180403,000000,100.12,100.18,100.1,100.1,139,0
ECN1022.PL,D,20180404,000000,100.18,100.18,100.18,100.18,475,0
ECN1022.PL,D,20180409,000000,100.01,100.17,100.01,100.17,355,0
ECN1022.PL,D,20180416,000000,100.03,100.03,100.03,100.03,40,0
ECN1022.PL,D,20180417,000000,100.02,100.02,100.02,100.02,310,0
ECN1022.PL,D,20180418,000000,100.01,100.01,99.55,99.55,978,0
ECN1022.PL,D,20180419,000000,99.99,100.1,99.99,100.1,631,0
ECN1022.PL,D,20180420,000000,100.05,100.05,100.05,100.05,500,0
ECN1022.PL,D,20180423,000000,100.05,100.05,100.05,100.05,500,0
ECN1022.PL,D,20180424,000000,99.98,100.1,99.98,100.1,1500,0
ECN1022.PL,D,20180425,000000,100.08,100.1,100.08,100.09,1057,0
ECN1022.PL,D,20180426,000000,100,100,100,100,500,0
ECN1022.PL,D,20180427,000000,100,100,100,100,31,0
ECN1022.PL,D,20180430,000000,100,100,100,100,569,0
ECN1022.PL,D,20180507,000000,100,100,99,100,4178,0
ECN1022.PL,D,20180509,000000,99.99,99.99,99.99,99.99,31,0
ECN1022.PL,D,20180510,000000,99.98,99.98,99.98,99.98,56,0
ECN1022.PL,D,20180515,000000,99.94,100,99.94,100,2366,0
ECN1022.PL,D,20180516,000000,99.9,99.9,99.9,99.9,200,0
ECN1022.PL,D,20180517,000000,99.99,99.99,99.99,99.99,100,0
ECN1022.PL,D,20180521,000000,99.99,99.99,99.71,99.71,129,0
ECN1022.PL,D,20180522,000000,99.7,99.7,99.6,99.6,24,0
ECN1022.PL,D,20180524,000000,99.6,99.6,99.6,99.6,26,0
ECN1022.PL,D,20180528,000000,99.3,99.3,99,99,126,0
ECN1022.PL,D,20180529,000000,99.2,99.2,99.2,99.2,300,0
ECN1022.PL,D,20180530,000000,99.56,99.59,99.56,99.59,1418,0
ECN1022.PL,D,20180604,000000,99.59,99.59,99,99.5,811,0
ECN1022.PL,D,20180606,000000,99.5,99.5,99.5,99.5,17,0
ECN1022.PL,D,20180608,000000,99.12,99.12,98.99,98.99,2100,0
ECN1022.PL,D,20180611,000000,99.39,99.39,99.39,99.39,5,0
ECN1022.PL,D,20180612,000000,99.39,99.58,99.39,99.58,48,0
ECN1022.PL,D,20180613,000000,98.9,99.57,98.64,99,4072,0
ECN1022.PL,D,20180614,000000,99,99,98.56,98.56,778,0
ECN1022.PL,D,20180615,000000,98.56,99.49,98.56,99.49,203,0
ECN1022.PL,D,20180618,000000,99.4,99.4,98.66,98.66,286,0
ECN1022.PL,D,20180621,000000,98,98,98,98,600,0
ECN1022.PL,D,20180622,000000,97.5,98.49,97.5,98.49,496,0
ECN1022.PL,D,20180626,000000,98.47,98.47,98.46,98.46,105,0
ECN1022.PL,D,20180627,000000,97.5,97.69,97,97.69,1750,0
ECN1022.PL,D,20180628,000000,97.6,97.6,97.59,97.59,72,0
ECN1022.PL,D,20180629,000000,97.59,97.6,97.59,97.6,335,0
ECN1022.PL,D,20180702,000000,97.6,98,96.51,98,2208,0
ECN1022.PL,D,20180703,000000,98.44,98.64,98.44,98.64,125,0
ECN1022.PL,D,20180704,000000,98.01,98.01,98.01,98.01,706,0
ECN1022.PL,D,20180705,000000,98.01,99,98,99,1187,0
ECN1022.PL,D,20180706,000000,98.07,98.99,98.06,98.99,421,0
ECN1022.PL,D,20180709,000000,98.1,98.98,98.1,98.98,107,0
ECN1022.PL,D,20180710,000000,98.07,98.07,98.07,98.07,50,0
ECN1022.PL,D,20180711,000000,98.99,98.99,98.99,98.99,15,0
ECN1022.PL,D,20180716,000000,98.5,98.91,98.25,98.9,200,0
ECN1022.PL,D,20180723,000000,98.89,98.89,98.15,98.89,451,0
ECN1022.PL,D,20180724,000000,98.13,98.13,97.1,97.99,4073,0
ECN1022.PL,D,20180725,000000,97.01,97.99,96.02,97.99,18971,0
ECN1022.PL,D,20180726,000000,98.86,98.86,98.86,98.86,50,0
ECN1022.PL,D,20180731,000000,98.63,98.63,98.59,98.59,200,0
ECN1022.PL,D,20180801,000000,98,98.57,98,98.49,999,0
ECN1022.PL,D,20180802,000000,98.57,98.57,98.57,98.57,102,0
ECN1022.PL,D,20180803,000000,97.2,98.55,97,98.55,861,0
ECN1022.PL,D,20180806,000000,98.55,98.55,98.02,98.02,145,0
ECN1022.PL,D,20180807,000000,98.51,98.51,98.51,98.51,30,0
ECN1022.PL,D,20180809,000000,98.05,98.05,98.01,98.05,218,0
ECN1022.PL,D,20180810,000000,98.49,98.49,98.49,98.49,20,0
ECN1022.PL,D,20180816,000000,98.48,99.4,98.2,99.37,25445,0
ECN1022.PL,D,20180822,000000,99.29,99.3,99.29,99.3,493,0
ECN1022.PL,D,20180823,000000,98.8,98.8,98.8,98.8,50,0
ECN1022.PL,D,20180824,000000,98.71,98.71,98.71,98.71,100,0
ECN1022.PL,D,20180827,000000,99.27,99.27,99.27,99.27,19,0
ECN1022.PL,D,20180830,000000,99,99,98.01,98.01,357,0
ECN1022.PL,D,20180831,000000,98.49,98.5,98.49,98.5,11,0
ECN1022.PL,D,20180903,000000,98.14,98.49,98.1,98.49,237,0
ECN1022.PL,D,20180904,000000,98.49,99,98.49,99,563,0
ECN1022.PL,D,20180905,000000,98.99,98.99,98.99,98.99,200,0
ECN1022.PL,D,20180912,000000,98.21,98.92,98.2,98.92,121,0
ECN1022.PL,D,20180917,000000,98.89,98.89,98.89,98.89,23,0
ECN1022.PL,D,20180920,000000,98.2,98.2,97.51,97.99,517,0
ECN1022.PL,D,20180924,000000,97.78,97.8,97.78,97.8,706,0
ECN1022.PL,D,20181001,000000,97.8,97.8,97.8,97.8,140,0
ECN1022.PL,D,20181004,000000,97.8,97.8,97.8,97.8,41,0
ECN1022.PL,D,20181005,000000,97.8,98.5,97.8,98.5,376,0
ECN1022.PL,D,20181009,000000,98,98.49,97.31,98.48,184,0
ECN1022.PL,D,20181012,000000,98,98.28,98,98.28,101,0
ECN1022.PL,D,20181015,000000,98.26,98.42,98.26,98.42,86,0
ECN1022.PL,D,20181016,000000,98.41,98.42,98.41,98.42,106,0
ECN1022.PL,D,20181017,000000,98.69,98.69,98.69,98.69,9,0
ECN1022.PL,D,20181023,000000,98.64,98.64,97.65,98.64,141,0
ECN1022.PL,D,20181024,000000,98.64,98.64,98.64,98.64,175,0
ECN1022.PL,D,20181025,000000,98.49,98.49,97.67,98.48,96,0
ECN1022.PL,D,20181026,000000,98.47,98.47,98.47,98.47,75,0
