<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4PKN1.PL,D,20200527,000000,10.49,10.5,10.49,10.5,1676,0
RCFL4PKN1.PL,D,20200528,000000,9.93,9.93,9.49,9.92,4000,0
RCFL4PKN1.PL,D,20200529,000000,9.88,9.88,9.88,9.88,1250,0
RCFL4PKN1.PL,D,20200601,000000,10.08,10.08,10.08,10.08,1250,0
RCFL4PKN1.PL,D,20200602,000000,10,10,9.66,9.66,1810,0
RCFL4PKN1.PL,D,20200603,000000,10.62,11.02,10.62,11.02,23636,0
RCFL4PKN1.PL,D,20200604,000000,10.4,10.58,10.14,10.58,1540,0
RCFL4PKN1.PL,D,20200605,000000,12.24,13.52,12.24,13.48,1875,0
RCFL4PKN1.PL,D,20200608,000000,12.62,12.88,12.62,12.88,2498,0
RCFL4PKN1.PL,D,20200609,000000,11.68,11.68,11.44,11.46,22432,0
RCFL4PKN1.PL,D,20200616,000000,8.24,8.24,8.24,8.24,120,0
RCFL4PKN1.PL,D,20200702,000000,7.22,7.22,7.22,7.22,95,0
RCFL4PKN1.PL,D,20200709,000000,6.07,6.07,6.03,6.03,621,0
RCFL4PKN1.PL,D,20200713,000000,6.41,6.41,6.41,6.41,221,0
RCFL4PKN1.PL,D,20200715,000000,5.2,5.2,5.2,5.2,300,0
RCFL4PKN1.PL,D,20200716,000000,4.75,5.58,4.75,5.58,1514,0
RCFL4PKN1.PL,D,20200721,000000,5.8,5.8,5.8,5.8,600,0
RCFL4PKN1.PL,D,20200727,000000,4.72,4.72,4.65,4.65,1350,0
RCFL4PKN1.PL,D,20200728,000000,5.15,5.15,5.03,5.03,2179,0
RCFL4PKN1.PL,D,20200729,000000,4.45,4.45,4.45,4.45,116,0
RCFL4PKN1.PL,D,20200730,000000,4.1,4.1,3.76,3.76,5327,0
RCFL4PKN1.PL,D,20200731,000000,3.3,3.72,3.3,3.56,10532,0
RCFL4PKN1.PL,D,20200803,000000,3.42,3.42,3.42,3.42,2353,0
RCFL4PKN1.PL,D,20200805,000000,3.91,3.91,3.91,3.91,170,0
RCFL4PKN1.PL,D,20200806,000000,3.52,3.52,3.29,3.29,442,0
