<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3PALL4.PL,D,20200325,000000,4.34,4.34,4.34,4.34,300,0
RCFS3PALL4.PL,D,20200326,000000,2.96,2.96,2.96,2.96,14406,0
RCFS3PALL4.PL,D,20200401,000000,2.72,2.96,2.72,2.96,1900,0
RCFS3PALL4.PL,D,20200414,000000,2.84,2.84,2.74,2.74,1800,0
RCFS3PALL4.PL,D,20200416,000000,2.78,2.78,2.78,2.78,200,0
RCFS3PALL4.PL,D,20200417,000000,2.96,2.96,2.96,2.96,1200,0
RCFS3PALL4.PL,D,20200420,000000,2.94,2.94,2.94,2.94,100,0
RCFS3PALL4.PL,D,20200428,000000,3.82,3.82,3.82,3.82,500,0
RCFS3PALL4.PL,D,20200505,000000,4.06,4.19,4.06,4.19,14406,0
RCFS3PALL4.PL,D,20200506,000000,4.62,4.62,4.62,4.62,70,0
RCFS3PALL4.PL,D,20200514,000000,4.35,4.35,4.35,4.35,25,0
RCFS3PALL4.PL,D,20200515,000000,4.07,4.09,4.07,4.09,520,0
RCFS3PALL4.PL,D,20200518,000000,3.06,3.06,2.85,2.85,88139,0
RCFS3PALL4.PL,D,20200519,000000,2.88,2.91,2.74,2.74,21888,0
RCFS3PALL4.PL,D,20200520,000000,2.37,2.37,2.27,2.27,228,0
RCFS3PALL4.PL,D,20200521,000000,2.57,2.57,2.57,2.57,10000,0
RCFS3PALL4.PL,D,20200525,000000,2.82,2.82,2.82,2.82,20,0
RCFS3PALL4.PL,D,20200527,000000,2.71,2.71,2.7,2.7,10000,0
RCFS3PALL4.PL,D,20200605,000000,2.72,2.78,2.72,2.78,1578,0
RCFS3PALL4.PL,D,20200608,000000,2.61,2.61,2.61,2.61,1500,0
RCFS3PALL4.PL,D,20200618,000000,2.78,2.8,2.78,2.8,310,0
RCFS3PALL4.PL,D,20200626,000000,3.15,3.15,3.15,3.15,1000,0
RCFS3PALL4.PL,D,20200727,000000,1.49,1.5,1.49,1.5,1032,0
RCFS3PALL4.PL,D,20200806,000000,1.59,1.59,1.59,1.59,806,0
RCFS3PALL4.PL,D,20200812,000000,1.65,1.65,1.61,1.61,10000,0
RCFS3PALL4.PL,D,20200908,000000,1.38,1.44,1.38,1.44,58258,0
RCFS3PALL4.PL,D,20200910,000000,1.38,1.38,1.31,1.31,2443,0
RCFS3PALL4.PL,D,20200911,000000,1.37,1.37,1.37,1.37,418,0
RCFS3PALL4.PL,D,20200922,000000,1.44,1.44,1.4,1.4,10000,0
RCFS3PALL4.PL,D,20200923,000000,1.55,1.55,1.52,1.52,3341,0
RCFS3PALL4.PL,D,20200924,000000,1.56,1.56,1.56,1.56,11500,0
RCFS3PALL4.PL,D,20200928,000000,1.49,1.49,1.49,1.49,2970,0
RCFS3PALL4.PL,D,20200929,000000,1.39,1.39,1.39,1.39,21499,0
RCFS3PALL4.PL,D,20200930,000000,1.35,1.35,1.35,1.35,80,0
RCFS3PALL4.PL,D,20201009,000000,1.12,1.12,1.08,1.08,11700,0
RCFS3PALL4.PL,D,20201012,000000,1.08,1.08,1.08,1.08,1700,0
RCFS3PALL4.PL,D,20201013,000000,1.12,1.27,1.11,1.27,10100,0
RCFS3PALL4.PL,D,20201015,000000,1.32,1.32,1.32,1.32,557,0
