<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3ALR1.PL,D,20200512,000000,7.36,7.45,7.36,7.45,1650,0
RCFL3ALR1.PL,D,20200513,000000,7.22,7.22,7.22,7.22,200,0
RCFL3ALR1.PL,D,20200514,000000,6.8,6.8,6.22,6.22,1850,0
RCFL3ALR1.PL,D,20200519,000000,6.67,6.81,6.67,6.81,646,0
RCFL3ALR1.PL,D,20200520,000000,6.77,6.77,6.76,6.76,265,0
RCFL3ALR1.PL,D,20200525,000000,6.53,6.53,6.53,6.53,200,0
RCFL3ALR1.PL,D,20200526,000000,7.33,8.04,7.3,8.04,2800,0
RCFL3ALR1.PL,D,20200527,000000,8.66,8.66,8.66,8.66,1200,0
RCFL3ALR1.PL,D,20200528,000000,7.6,7.6,7.6,7.6,220,0
RCFL3ALR1.PL,D,20200601,000000,8.12,8.12,8.03,8.03,1500,0
RCFL3ALR1.PL,D,20200603,000000,10.2,10.2,10.2,10.2,200,0
RCFL3ALR1.PL,D,20200604,000000,10.18,12.72,9.81,12.46,3710,0
RCFL3ALR1.PL,D,20200605,000000,14.2,15.52,12.94,13.96,22616,0
RCFL3ALR1.PL,D,20200608,000000,14.68,15.66,14.44,15.14,10767,0
RCFL3ALR1.PL,D,20200609,000000,13.86,13.86,13.64,13.64,237,0
RCFL3ALR1.PL,D,20200610,000000,13.98,13.98,13.26,13.58,15461,0
RCFL3ALR1.PL,D,20200615,000000,13.68,13.68,13.68,13.68,29,0
RCFL3ALR1.PL,D,20200618,000000,12.98,12.98,12.98,12.98,300,0
RCFL3ALR1.PL,D,20200623,000000,13.2,14.1,13.2,13.32,2050,0
RCFL3ALR1.PL,D,20200624,000000,11.88,12.22,11.88,12.22,1130,0
RCFL3ALR1.PL,D,20200625,000000,10.66,10.66,10.66,10.66,400,0
RCFL3ALR1.PL,D,20200630,000000,10.48,10.88,10.48,10.88,650,0
RCFL3ALR1.PL,D,20200701,000000,10.34,10.34,10.34,10.34,200,0
RCFL3ALR1.PL,D,20200706,000000,11.28,11.28,11.28,11.28,1000,0
RCFL3ALR1.PL,D,20200721,000000,13.22,13.3,12.52,12.52,890,0
RCFL3ALR1.PL,D,20200722,000000,12.98,12.98,12.98,12.98,13,0
RCFL3ALR1.PL,D,20200723,000000,11.12,11.12,10.5,10.5,480,0
RCFL3ALR1.PL,D,20200727,000000,9.85,9.85,9.4,9.4,598,0
RCFL3ALR1.PL,D,20200728,000000,9.39,9.39,9.39,9.39,10,0
RCFL3ALR1.PL,D,20200729,000000,8.42,8.42,8.42,8.42,250,0
RCFL3ALR1.PL,D,20200730,000000,8.4,8.44,8.4,8.4,590,0
RCFL3ALR1.PL,D,20200731,000000,7,7.52,7,7.52,857,0
RCFL3ALR1.PL,D,20200803,000000,7.16,7.16,6.89,7,1762,0
RCFL3ALR1.PL,D,20200804,000000,7.42,7.84,7.42,7.79,723,0
RCFL3ALR1.PL,D,20200805,000000,8.05,8.08,8.05,8.08,372,0
RCFL3ALR1.PL,D,20200806,000000,8.33,8.33,8.33,8.33,371,0
RCFL3ALR1.PL,D,20200807,000000,7.31,7.31,7.31,7.31,52,0
RCFL3ALR1.PL,D,20200810,000000,6.86,6.86,6.86,6.86,200,0
RCFL3ALR1.PL,D,20200811,000000,8.34,8.93,8.34,8.54,2092,0
RCFL3ALR1.PL,D,20200812,000000,8.8,8.8,8.8,8.8,1000,0
RCFL3ALR1.PL,D,20200818,000000,7.81,7.81,7.81,7.81,1200,0
RCFL3ALR1.PL,D,20200819,000000,7.45,7.45,7.45,7.45,200,0
RCFL3ALR1.PL,D,20200821,000000,6.4,6.49,6.08,6.08,7018,0
RCFL3ALR1.PL,D,20200824,000000,6.4,6.4,6.19,6.19,6195,0
RCFL3ALR1.PL,D,20200902,000000,6.06,6.06,6.05,6.05,1500,0
RCFL3ALR1.PL,D,20200908,000000,5.88,5.88,5.42,5.42,2726,0
RCFL3ALR1.PL,D,20200909,000000,5.3,5.34,5.3,5.34,350,0
RCFL3ALR1.PL,D,20200911,000000,5.88,6.55,5.88,6.19,2736,0
RCFL3ALR1.PL,D,20200914,000000,6.08,6.08,6.08,6.08,600,0
RCFL3ALR1.PL,D,20200915,000000,6.31,6.31,6.31,6.31,150,0
RCFL3ALR1.PL,D,20200916,000000,6.27,6.27,6.27,6.27,300,0
RCFL3ALR1.PL,D,20200921,000000,5.49,5.49,5.19,5.19,1290,0
RCFL3ALR1.PL,D,20200922,000000,5.15,5.15,4.64,4.65,880,0
RCFL3ALR1.PL,D,20200924,000000,3.96,3.96,3.77,3.81,806,0
RCFL3ALR1.PL,D,20200925,000000,3.58,3.58,3.58,3.58,225,0
RCFL3ALR1.PL,D,20200928,000000,3.79,4.02,3.76,4.02,19550,0
RCFL3ALR1.PL,D,20200929,000000,4.47,4.47,4.47,4.47,500,0
RCFL3ALR1.PL,D,20200930,000000,4.73,4.96,4.73,4.96,435,0
RCFL3ALR1.PL,D,20201001,000000,4.81,4.89,4.81,4.89,1000,0
RCFL3ALR1.PL,D,20201002,000000,4.61,4.66,4.61,4.66,1200,0
