<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3PEO.PL,D,20171214,000000,30.86,30.86,30.86,30.86,969,0
RCFL3PEO.PL,D,20171218,000000,31.36,31.36,31.3,31.3,5800,0
RCFL3PEO.PL,D,20171219,000000,31.54,31.62,31.54,31.62,5900,0
RCFL3PEO.PL,D,20171220,000000,31.3,32.08,31.3,31.82,68994,0
RCFL3PEO.PL,D,20171222,000000,31.61,31.61,31.61,31.61,2100,0
RCFL3PEO.PL,D,20171227,000000,30.19,30.19,30.19,30.19,16,0
RCFL3PEO.PL,D,20171228,000000,31.65,31.67,31.52,31.59,12000,0
RCFL3PEO.PL,D,20171229,000000,32.05,32.81,31.86,32.81,9762,0
RCFL3PEO.PL,D,20180104,000000,35.83,35.83,35.83,35.83,70,0
RCFL3PEO.PL,D,20180105,000000,35.83,35.83,35.83,35.83,70,0
RCFL3PEO.PL,D,20180108,000000,36.1,36.1,35,35.7,30126,0
RCFL3PEO.PL,D,20180109,000000,36.35,36.45,34.81,34.81,20500,0
RCFL3PEO.PL,D,20180110,000000,33.61,33.61,32.85,32.89,46515,0
RCFL3PEO.PL,D,20180111,000000,33.5,33.5,33.5,33.5,88,0
RCFL3PEO.PL,D,20180115,000000,32.99,32.99,32.99,32.99,50,0
RCFL3PEO.PL,D,20180116,000000,34.89,34.89,34.89,34.89,211,0
RCFL3PEO.PL,D,20180117,000000,35.67,35.67,35.21,35.21,6100,0
RCFL3PEO.PL,D,20180118,000000,34.43,34.57,33.43,34,97352,0
RCFL3PEO.PL,D,20180119,000000,35.02,36.03,34.45,36.03,20350,0
RCFL3PEO.PL,D,20180122,000000,36.05,36.52,35.68,36.52,274079,0
RCFL3PEO.PL,D,20180123,000000,38.71,40,38.71,40,6051,0
RCFL3PEO.PL,D,20180124,000000,40.11,40.21,38.65,40.21,1199,0
RCFL3PEO.PL,D,20180125,000000,39.7,39.7,39.45,39.54,4077,0
RCFL3PEO.PL,D,20180126,000000,38.9,38.9,38.9,38.9,1000,0
RCFL3PEO.PL,D,20180129,000000,35.32,35.32,35.13,35.13,10028,0
RCFL3PEO.PL,D,20180130,000000,35.16,36.01,34.83,35.47,24299,0
RCFL3PEO.PL,D,20180131,000000,35.55,35.55,35.55,35.55,28,0
RCFL3PEO.PL,D,20180201,000000,34.12,34.12,34.12,34.12,200,0
RCFL3PEO.PL,D,20180202,000000,34,34,34,34,200,0
RCFL3PEO.PL,D,20180205,000000,33.71,33.71,33.71,33.71,590,0
RCFL3PEO.PL,D,20180206,000000,31.11,31.4,30.29,31.3,2625,0
RCFL3PEO.PL,D,20180207,000000,31.08,31.22,31.08,31.22,140,0
RCFL3PEO.PL,D,20180208,000000,29.96,29.96,29.96,29.96,35,0
RCFL3PEO.PL,D,20180209,000000,29.49,30.18,29.49,30.18,180,0
RCFL3PEO.PL,D,20180214,000000,33.26,33.77,32.4,33.77,435,0
RCFL3PEO.PL,D,20180215,000000,34.34,34.34,33.23,33.23,400,0
RCFL3PEO.PL,D,20180216,000000,33.27,33.27,30.95,30.97,2720,0
RCFL3PEO.PL,D,20180219,000000,31.99,31.99,31.99,31.99,60,0
RCFL3PEO.PL,D,20180221,000000,31.06,31.57,31.06,31.42,11900,0
RCFL3PEO.PL,D,20180222,000000,31.1,32.55,31.1,32.55,25830,0
RCFL3PEO.PL,D,20180223,000000,33.01,33.5,33.01,33.5,2225,0
RCFL3PEO.PL,D,20180226,000000,32.92,32.92,31.46,31.46,310,0
RCFL3PEO.PL,D,20180227,000000,33.26,33.26,33.26,33.26,250,0
RCFL3PEO.PL,D,20180228,000000,34.63,34.79,34.63,34.79,107,0
RCFL3PEO.PL,D,20180301,000000,32.38,32.38,32.37,32.37,6000,0
RCFL3PEO.PL,D,20180302,000000,30.5,30.5,30.5,30.5,400,0
RCFL3PEO.PL,D,20180305,000000,30.74,31.3,30.74,31.25,5548,0
RCFL3PEO.PL,D,20180307,000000,32.76,33.2,32.67,33.2,170,0
RCFL3PEO.PL,D,20180309,000000,29.95,29.95,29.95,29.95,1000,0
