<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WS0429.PL,D,20090205,000000,100,100,100,100,30,0
WS0429.PL,D,20090209,000000,100.1,101,100.1,101,27,0
WS0429.PL,D,20090210,000000,101,101,101,101,3,0
WS0429.PL,D,20090505,000000,100,100,100,100,3,0
WS0429.PL,D,20090511,000000,100,100,100,100,5,0
WS0429.PL,D,20090603,000000,95,95,95,95,12,0
WS0429.PL,D,20090604,000000,96,96,96,96,11,0
WS0429.PL,D,20090605,000000,96,96,93,93,11,0
WS0429.PL,D,20090608,000000,95,95,95,95,10,0
WS0429.PL,D,20090617,000000,98,98,98,98,1,0
WS0429.PL,D,20090623,000000,91,91,91,91,30,0
WS0429.PL,D,20090630,000000,96,96,96,96,30,0
WS0429.PL,D,20090909,000000,96.5,96.5,96.5,96.5,8,0
WS0429.PL,D,20090925,000000,96.8,96.8,96.8,96.8,17,0
WS0429.PL,D,20090930,000000,96.8,96.8,96.8,96.8,1,0
WS0429.PL,D,20091001,000000,97,97,97,97,6,0
WS0429.PL,D,20091009,000000,96.5,96.5,96.5,96.5,8,0
WS0429.PL,D,20091013,000000,96,96,96,96,16,0
WS0429.PL,D,20091020,000000,96.5,97.5,96.5,97.5,26,0
WS0429.PL,D,20091028,000000,97.3,97.3,97.3,97.3,5,0
WS0429.PL,D,20091103,000000,96.8,96.8,96.8,96.8,25,0
WS0429.PL,D,20091104,000000,96.7,96.7,96.7,96.7,29,0
WS0429.PL,D,20091204,000000,96.4,96.4,96.4,96.4,29,0
WS0429.PL,D,20100120,000000,96,96.99,96,96.99,42,0
WS0429.PL,D,20100121,000000,96,96,96,96,1,0
WS0429.PL,D,20100317,000000,98.5,98.5,98.5,98.5,2,0
WS0429.PL,D,20100426,000000,99.9,99.9,99.9,99.9,5,0
WS0429.PL,D,20100430,000000,99.9,99.9,99.9,99.9,15,0
WS0429.PL,D,20100504,000000,99.1,99.1,99.1,99.1,8,0
WS0429.PL,D,20100506,000000,98,98,98,98,4,0
WS0429.PL,D,20100507,000000,98.5,98.5,98.5,98.5,18,0
WS0429.PL,D,20100510,000000,98.5,98.5,98.5,98.5,18,0
WS0429.PL,D,20100514,000000,99,99,99,99,10,0
WS0429.PL,D,20100524,000000,98.5,98.5,98.5,98.5,10,0
WS0429.PL,D,20100726,000000,99,99,99,99,5,0
WS0429.PL,D,20100727,000000,99,99,99,99,10,0
WS0429.PL,D,20100729,000000,98.89,98.89,98.89,98.89,6,0
WS0429.PL,D,20100730,000000,98.89,98.89,98.89,98.89,20,0
WS0429.PL,D,20100804,000000,97.3,97.5,97.3,97.5,39,0
WS0429.PL,D,20100813,000000,98.5,98.5,98.5,98.5,5,0
WS0429.PL,D,20100816,000000,98.5,98.5,98.5,98.5,15,0
WS0429.PL,D,20100817,000000,98.5,98.5,98.5,98.5,10,0
WS0429.PL,D,20100819,000000,98.89,98.89,98.89,98.89,2,0
WS0429.PL,D,20100820,000000,98.9,98.9,98.9,98.9,23,0
WS0429.PL,D,20100823,000000,100.8,100.8,100.8,100.8,30,0
WS0429.PL,D,20100825,000000,100.5,100.5,100.5,100.5,30,0
WS0429.PL,D,20100915,000000,100.8,100.8,100.8,100.8,4,0
WS0429.PL,D,20100923,000000,101,101.5,101,101.5,10,0
WS0429.PL,D,20100924,000000,101.5,101.5,101.5,101.5,224,0
WS0429.PL,D,20101001,000000,102.5,102.5,102.5,102.5,1,0
WS0429.PL,D,20101005,000000,103,103,103,103,10,0
WS0429.PL,D,20101007,000000,102.5,102.5,102.5,102.5,21,0
WS0429.PL,D,20101015,000000,102.5,102.5,102.5,102.5,8,0
WS0429.PL,D,20101104,000000,100,100,100,100,30,0
WS0429.PL,D,20101108,000000,100.5,101.5,100.5,101.5,4,0
WS0429.PL,D,20101109,000000,101,101,101,101,1,0
WS0429.PL,D,20101117,000000,99.1,99.1,99.1,99.1,1,0
WS0429.PL,D,20101119,000000,99,99,99,99,30,0
WS0429.PL,D,20101122,000000,99,99,99,99,5,0
WS0429.PL,D,20101124,000000,98.99,98.99,98.99,98.99,4,0
WS0429.PL,D,20101125,000000,98.5,98.5,98.5,98.5,4,0
WS0429.PL,D,20101126,000000,97.1,97.1,97.1,97.1,4,0
WS0429.PL,D,20101129,000000,97.1,97.1,97.1,97.1,1,0
WS0429.PL,D,20101207,000000,97.2,97.2,97.2,97.2,15,0
WS0429.PL,D,20101209,000000,97,97,95.5,95.5,21,0
WS0429.PL,D,20101213,000000,97,97,97,97,4,0
WS0429.PL,D,20101215,000000,96.5,96.5,96.5,96.5,2,0
WS0429.PL,D,20101216,000000,96.3,96.3,96.3,96.3,15,0
WS0429.PL,D,20101217,000000,97.3,97.3,97.3,97.3,4,0
WS0429.PL,D,20110110,000000,95,95,95,95,30,0
WS0429.PL,D,20110118,000000,93.31,93.31,93.3,93.3,15,0
WS0429.PL,D,20110120,000000,96,96,96,96,4,0
WS0429.PL,D,20110124,000000,95.6,95.6,95.3,95.3,20,0
WS0429.PL,D,20110125,000000,95.2,95.2,95.2,95.2,10,0
WS0429.PL,D,20110126,000000,95.1,95.1,95,95,16,0
WS0429.PL,D,20110131,000000,93,93,93,93,31,0
WS0429.PL,D,20110202,000000,94,94,94,94,11,0
WS0429.PL,D,20110203,000000,96,96,96,96,2,0
WS0429.PL,D,20110215,000000,93.01,93.01,93,93,31,0
WS0429.PL,D,20110217,000000,92.5,92.5,92.5,92.5,10,0
WS0429.PL,D,20110309,000000,93,93,93,93,1,0
WS0429.PL,D,20110310,000000,91.65,91.65,91.65,91.65,21,0
WS0429.PL,D,20110321,000000,93,93,93,93,1,0
WS0429.PL,D,20110328,000000,93.49,93.49,93.49,93.49,2,0
WS0429.PL,D,20110329,000000,93.49,93.49,93.49,93.49,6,0
WS0429.PL,D,20110331,000000,93.49,93.49,93.49,93.49,33,0
WS0429.PL,D,20110415,000000,93.21,93.21,92.3,92.3,21,0
WS0429.PL,D,20110419,000000,92.6,92.6,92.6,92.6,49,0
WS0429.PL,D,20110420,000000,94,94,93,93,83,0
WS0429.PL,D,20110421,000000,93.5,93.5,93.5,93.5,3,0
WS0429.PL,D,20110426,000000,93.5,93.5,93,93,84,0
WS0429.PL,D,20110429,000000,94.5,94.5,94.5,94.5,9,0
WS0429.PL,D,20110504,000000,94.5,94.5,94.5,94.5,63,0
WS0429.PL,D,20110622,000000,95,95,95,95,2,0
WS0429.PL,D,20110630,000000,97.25,97.29,97.25,97.29,15,0
WS0429.PL,D,20110707,000000,98.1,98.1,98.1,98.1,2,0
WS0429.PL,D,20110708,000000,98.5,98.5,98.5,98.5,5,0
WS0429.PL,D,20110725,000000,98.5,98.5,98.5,98.5,3,0
WS0429.PL,D,20110728,000000,98.5,98.5,98.5,98.5,11,0
WS0429.PL,D,20110729,000000,98.5,98.5,98.5,98.5,4,0
WS0429.PL,D,20110803,000000,95.5,95.5,95.5,95.5,4,0
WS0429.PL,D,20110817,000000,96.5,96.5,96.5,96.5,20,0
WS0429.PL,D,20110830,000000,97.5,97.51,97.5,97.51,26,0
WS0429.PL,D,20110906,000000,99,99,99,99,6,0
WS0429.PL,D,20111012,000000,100,100,100,100,119,0
WS0429.PL,D,20111014,000000,100,100,100,100,47,0
WS0429.PL,D,20111017,000000,101.5,101.5,101.5,101.5,1,0
WS0429.PL,D,20111103,000000,99,99,99,99,31,0
WS0429.PL,D,20111230,000000,96.09,98.09,96.09,98,7,0
WS0429.PL,D,20120102,000000,95.01,95.01,95.01,95.01,10,0
WS0429.PL,D,20120127,000000,99.61,99.61,99.61,99.61,3,0
WS0429.PL,D,20120131,000000,99.98,99.98,99.98,99.98,2,0
WS0429.PL,D,20120202,000000,99.99,99.99,99.99,99.99,16,0
WS0429.PL,D,20120207,000000,100.35,100.35,100.35,100.35,3,0
WS0429.PL,D,20120214,000000,101,101,101,101,10,0
WS0429.PL,D,20120223,000000,101,101,101,101,4,0
