<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLWB,D,20111103,000000,109.5,113.9,109.5,113.7,10,10
FLWB,D,20111104,000000,112.7,112.7,112.6,112.6,2,10
FLWB,D,20111107,000000,111.1,112.6,111.1,112.6,2,12
FLWB,D,20111108,000000,114,114.2,114,114.2,3,13
FLWB,D,20111115,000000,112,112.5,112,112.5,11,24
FLWB,D,20111116,000000,110,110,110,110,1,23
FLWB,D,20111122,000000,105.7,105.7,105.7,105.7,8,31
FLWB,D,20111123,000000,105.3,105.3,105.3,105.3,6,37
FLWB,D,20111130,000000,110,110,109,109,14,53
FLWB,D,20111201,000000,105.05,110.5,105,110.3,24,53
FLWB,D,20111206,000000,112.2,112.3,107.4,107.4,10,53
FLWB,D,20111215,000000,107.9,107.9,107,107,11,43
FLWB,D,20111222,000000,102.6,105.1,102.6,105.1,2,27
FLWB,D,20111230,000000,101.55,101.55,101.55,101.55,1,28
FLWB,D,20120102,000000,96.5,104.7,96.5,104.6,6,30
FLWB,D,20120103,000000,105.9,105.9,105.9,105.9,1,31
FLWB,D,20120104,000000,106.6,110,106.6,109,59,84
FLWB,D,20120109,000000,109,109,109,109,13,77
FLWB,D,20120110,000000,109,109,109,109,23,97
FLWB,D,20120111,000000,108,108,107.5,107.5,33,126
FLWB,D,20120112,000000,110.4,110.4,108.2,108.5,37,161
FLWB,D,20120116,000000,108.5,108.5,108,108,3,164
FLWB,D,20120119,000000,110,110,110,110,1,164
FLWB,D,20120120,000000,111.1,111.1,109,110,10,165
FLWB,D,20120123,000000,111.4,115,111.4,115,22,171
FLWB,D,20120124,000000,114.5,117.8,114.5,117.7,21,170
FLWB,D,20120125,000000,118,121.3,118,121.3,21,185
FLWB,D,20120126,000000,123.3,123.3,123.1,123.1,18,170
FLWB,D,20120202,000000,126.8,127.5,126.8,127.5,3,167
FLWB,D,20120203,000000,127.1,127.6,127.1,127.6,43,153
FLWB,D,20120206,000000,126.1,126.1,126.1,126.1,1,154
FLWB,D,20120207,000000,128,128,128,128,16,161
FLWB,D,20120208,000000,127,127,127,127,11,167
FLWB,D,20120209,000000,127.5,127.5,126.7,126.7,5,170
FLWB,D,20120210,000000,127,127,127,127,2,170
FLWB,D,20120213,000000,127,127,127,127,5,170
FLWB,D,20120220,000000,131.4,131.4,129.5,129.5,3,170
FLWB,D,20120222,000000,127.55,127.55,127.55,127.55,6,185
FLWB,D,20120229,000000,129.95,129.95,129.95,129.95,12,210
FLWB,D,20120302,000000,129.5,129.5,128.95,129,21,202
FLWB,D,20120305,000000,129.9,129.9,129.9,129.9,12,191
FLWB,D,20120306,000000,129.9,129.9,127,127,27,168
FLWB,D,20120307,000000,126,126,124.1,124.15,12,161
FLWB,D,20120313,000000,123.15,123.15,122.1,122.1,19,141
FLWB,D,20120315,000000,126.65,126.65,126.65,126.65,10,131
FLWB,D,20120320,000000,131.5,131.5,130.5,130.5,20,92
FLWB,D,20120328,000000,130.9,130.9,130.9,130.9,5,88
FLWB,D,20120410,000000,125,125.5,125,125.5,10,94
FLWB,D,20120411,000000,124.8,124.8,124.8,124.8,6,93
FLWB,D,20120419,000000,124,124,124,124,8,96
FLWB,D,20120420,000000,123,123,123,123,2,98
FLWB,D,20120423,000000,123.3,123.3,123.3,123.3,1,98
FLWB,D,20120424,000000,118.5,121,118.5,121,7,98
FLWB,D,20120425,000000,123,126,123,125.3,10,99
FLWB,D,20120426,000000,126,126,126,126,1,98
FLWB,D,20120427,000000,125.9,126,125,125.8,11,109
FLWB,D,20120430,000000,124.15,124.15,124.15,124.15,3,111
FLWB,D,20120504,000000,125.2,125.2,124,124,4,112
FLWB,D,20120507,000000,122.7,122.95,122.45,122.6,7,119
FLWB,D,20120508,000000,122.8,123.8,122.35,122.35,8,120
FLWB,D,20120509,000000,124.35,124.7,124,124.7,5,121
FLWB,D,20120511,000000,122.3,122.3,122.3,122.3,1,122
FLWB,D,20120514,000000,120,120,120,120,1,122
FLWB,D,20120515,000000,120.8,122.1,120.8,122.1,3,121
FLWB,D,20120516,000000,119.2,123.05,117.9,123.05,16,108
FLWB,D,20120517,000000,119.8,120.8,119.8,120.1,3,108
FLWB,D,20120518,000000,117.05,120.1,117.05,120.1,5,106
FLWB,D,20120521,000000,121.6,121.8,120.3,120.3,7,108
FLWB,D,20120522,000000,121,123.4,121,123.4,7,109
FLWB,D,20120523,000000,121.3,121.3,120.8,120.8,3,109
FLWB,D,20120524,000000,121,122,120.4,122,7,112
FLWB,D,20120525,000000,120,120,120,120,1,113
FLWB,D,20120528,000000,119,119,119,119,1,113
FLWB,D,20120530,000000,119.8,120,117,117,6,112
FLWB,D,20120531,000000,116.5,116.7,116.5,116.7,6,111
FLWB,D,20120601,000000,117.5,117.5,117.5,117.5,5,111
FLWB,D,20120604,000000,116.7,116.7,116.7,116.7,2,111
FLWB,D,20120606,000000,117,117,116.5,116.5,14,102
FLWB,D,20120608,000000,119.7,122.45,116,122.45,46,73
FLWB,D,20120611,000000,123.8,124.4,123.4,123.4,20,80
FLWB,D,20120613,000000,125.2,125.2,125.2,125.2,6,82
FLWB,D,20120614,000000,125.5,125.5,125.5,125.5,2,83
FLWB,D,20120615,000000,124.7,125,124.7,125,6,85
FLWB,D,20120618,000000,124.95,127.95,123.9,123.9,3,65
FLWB,D,20120619,000000,123.5,125.9,123.5,125.9,2,65
FLWB,D,20120620,000000,126,126,126,126,2,64
FLWB,D,20120621,000000,124.8,124.8,124,124,2,62
FLWB,D,20120622,000000,122.2,124.8,122.2,124.8,7,61
FLWB,D,20120629,000000,121.45,123.9,121.45,123.9,2,61
FLWB,D,20120703,000000,125.1,125.1,125.1,125.1,1,61
FLWB,D,20120705,000000,125.95,125.95,125.95,125.95,2,62
FLWB,D,20120706,000000,126.3,126.7,126.3,126.7,2,63
FLWB,D,20120712,000000,123.5,123.5,121,121,4,62
FLWB,D,20120713,000000,123.4,124.65,123.4,124.65,4,63
FLWB,D,20120716,000000,124.2,124.2,122.8,123.9,17,69
FLWB,D,20120717,000000,122.9,123.7,122.9,123,4,70
FLWB,D,20120720,000000,123.75,123.75,122.8,122.8,3,72
FLWB,D,20120723,000000,119.5,119.5,119.5,119.5,1,71
FLWB,D,20120724,000000,119.2,119.5,119.2,119.2,3,72
FLWB,D,20120725,000000,119.9,121.15,119.5,119.5,12,80
FLWB,D,20120726,000000,120.45,120.45,120.45,120.45,4,83
FLWB,D,20120730,000000,120.8,120.8,120.5,120.5,2,84
FLWB,D,20120731,000000,120,120.8,120,120.8,4,87
FLWB,D,20120803,000000,121.5,121.5,121.5,121.5,5,91
FLWB,D,20120807,000000,123.2,123.9,123.2,123.9,6,89
FLWB,D,20120808,000000,122.7,122.8,122.3,122.3,3,89
FLWB,D,20120809,000000,122.5,124.75,122.5,124.75,8,94
