<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNT_PB,D,20181119,000000,31.2,31.2,31.2,31.2,0,0
PNT_PB,D,20181120,000000,32.28,46.48,32.28,36.04,0,0
PNT_PB,D,20181121,000000,36.58,36.58,30.53,30.53,0,0
PNT_PB,D,20181122,000000,27.19,27.19,23.94,23.94,0,0
PNT_PB,D,20181123,000000,20.24,20.24,20.24,20.24,0,0
PNT_PB,D,20181126,000000,20.81,20.81,19.36,19.36,0,0
PNT_PB,D,20181127,000000,19.36,19.36,19.36,19.36,0,0
PNT_PB,D,20181130,000000,19.35,19.35,19.35,19.35,0,0
PNT_PB,D,20181217,000000,19.36,19.36,19.36,19.36,0,0
PNT_PB,D,20181219,000000,19.36,19.36,19.36,19.36,0,0
PNT_PB,D,20190104,000000,19.36,19.87,19.36,19.87,0,0
PNT_PB,D,20190117,000000,18.02,18.02,18.02,18.02,0,0
PNT_PB,D,20190118,000000,16.77,16.77,16.77,16.77,0,0
PNT_PB,D,20190121,000000,15.68,15.68,15.68,15.68,0,0
PNT_PB,D,20190220,000000,15.6,15.6,15.6,15.6,0,0
PNT_PB,D,20190304,000000,15.63,18.62,15.63,18.62,0,0
PNT_PB,D,20190306,000000,18.4,19.36,18.4,19.36,0,0
PNT_PB,D,20190313,000000,20.81,24.89,20.81,24.05,0,0
PNT_PB,D,20190403,000000,19.79,19.79,19.79,19.79,0,0
PNT_PB,D,20190412,000000,21.26,25.52,21.26,24.97,0,0
PNT_PB,D,20190416,000000,25.15,32.36,25.15,32.36,0,0
PNT_PB,D,20190417,000000,32.36,32.36,32.36,32.36,0,0
PNT_PB,D,20190418,000000,36.98,36.98,36.98,36.98,0,0
PNT_PB,D,20190423,000000,38.83,38.83,38.83,38.83,0,0
PNT_PB,D,20190424,000000,38.83,38.83,36.98,36.98,0,0
PNT_PB,D,20190425,000000,36.98,36.98,36.98,36.98,0,0
PNT_PB,D,20190429,000000,35.14,35.14,29.59,29.59,0,0
PNT_PB,D,20190430,000000,27.74,29.22,27.74,29.22,0,0
PNT_PB,D,20190502,000000,28.67,30.51,28.67,30.51,0,0
PNT_PB,D,20190507,000000,31.07,31.07,29.96,29.96,0,0
PNT_PB,D,20190509,000000,31.07,31.07,31.07,31.07,0,0
PNT_PB,D,20190510,000000,31.07,31.44,31.07,31.44,0,0
PNT_PB,D,20190513,000000,30.7,32.18,30.7,32.18,0,0
PNT_PB,D,20190514,000000,30.51,32.36,30.51,32.36,0,0
PNT_PB,D,20190515,000000,32.18,34.02,32.18,34.02,0,0
PNT_PB,D,20190516,000000,34.02,34.77,34.02,34.59,0,0
PNT_PB,D,20190517,000000,34.4,35.88,34.4,35.88,0,0
PNT_PB,D,20190520,000000,35.88,36.98,26.64,26.64,0,0
PNT_PB,D,20190522,000000,26.51,26.51,26.51,26.51,0,0
PNT_PB,D,20190523,000000,26.51,26.51,26.51,26.51,0,0
PNT_PB,D,20190527,000000,26.64,26.64,26.64,26.64,0,0
PNT_PB,D,20190528,000000,26.51,26.51,26.51,26.51,0,0
PNT_PB,D,20190531,000000,26.11,26.51,26.11,26.51,0,0
PNT_PB,D,20190603,000000,26.51,26.51,26.51,26.51,0,0
PNT_PB,D,20190604,000000,25.17,26.64,23.98,26.64,0,0
PNT_PB,D,20190606,000000,26.38,26.38,26.38,26.38,0,0
