<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLO_MV,D,20110727,000000,6.43,6.49,5.9,5.9,0,0
TLO_MV,D,20110728,000000,6.68,6.68,6.49,6.49,0,0
TLO_MV,D,20110729,000000,5.9,5.9,5.19,5.19,0,0
TLO_MV,D,20110801,000000,5.19,5.19,5.19,5.19,0,0
TLO_MV,D,20110802,000000,5.19,5.89,5.19,5.89,0,0
TLO_MV,D,20110803,000000,6.49,6.49,6.49,6.49,0,0
TLO_MV,D,20110805,000000,5.31,5.31,5.31,5.31,0,0
TLO_MV,D,20110809,000000,5.02,5.02,4.96,4.96,0,0
TLO_MV,D,20110812,000000,4.96,4.96,4.96,4.96,0,0
TLO_MV,D,20110818,000000,4.43,4.43,4.43,4.43,0,0
TLO_MV,D,20110906,000000,4.13,4.13,4.13,4.13,0,0
TLO_MV,D,20110907,000000,3.54,3.54,3.54,3.54,0,0
TLO_MV,D,20111004,000000,2.95,2.95,2.95,2.95,0,0
TLO_MV,D,20111012,000000,2.95,2.95,2.95,2.95,0,0
TLO_MV,D,20111024,000000,3.25,3.25,3.25,3.25,0,0
TLO_MV,D,20111122,000000,2.66,2.66,2.66,2.66,0,0
TLO_MV,D,20111207,000000,2.36,2.36,2.36,2.36,0,0
TLO_MV,D,20111213,000000,2.66,2.95,2.66,2.95,0,0
TLO_MV,D,20111230,000000,2.95,3.54,2.95,3.54,0,0
TLO_MV,D,20120111,000000,3.54,4.25,3.54,4.25,0,0
TLO_MV,D,20120313,000000,3.4,3.4,3.4,3.4,0,0
TLO_MV,D,20120314,000000,3.4,3.4,3.4,3.4,0,0
TLO_MV,D,20120322,000000,3.25,3.25,3.25,3.25,0,0
TLO_MV,D,20120327,000000,2.95,2.95,2.95,2.95,0,0
TLO_MV,D,20120330,000000,2.95,2.95,2.36,2.36,0,0
TLO_MV,D,20120412,000000,2.83,2.83,2.83,2.83,0,0
TLO_MV,D,20120424,000000,2.95,2.95,2.95,2.95,0,0
