<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMG_MV,D,20130812,000000,125.33,125.33,125.33,125.33,0,0
IMG_MV,D,20130813,000000,130.88,130.88,95.49,117.23,0,0
IMG_MV,D,20130814,000000,101.48,109.03,101.48,105.14,0,0
IMG_MV,D,20130816,000000,105.37,109.8,104.48,109.8,0,0
IMG_MV,D,20130819,000000,105.37,105.37,102.59,102.59,0,0
IMG_MV,D,20130820,000000,104.81,104.81,94.27,94.39,0,0
IMG_MV,D,20130821,000000,94.39,103.37,94.39,103.15,0,0
IMG_MV,D,20130822,000000,103.7,103.7,103.15,103.15,0,0
IMG_MV,D,20130823,000000,105.37,109.14,105.37,109.14,0,0
IMG_MV,D,20130826,000000,110.25,110.25,108.69,109.8,0,0
IMG_MV,D,20130827,000000,110.36,110.36,110.36,110.36,0,0
IMG_MV,D,20130828,000000,110.36,110.36,110.36,110.36,0,0
IMG_MV,D,20130829,000000,110.36,110.36,103.48,103.48,0,0
IMG_MV,D,20130830,000000,110.36,110.91,106.47,110.36,0,0
IMG_MV,D,20130902,000000,110.91,110.91,88.84,106.03,0,0
IMG_MV,D,20130903,000000,108.69,108.69,108.69,108.69,0,0
IMG_MV,D,20130904,000000,110.02,110.02,104.81,105.03,0,0
IMG_MV,D,20130905,000000,108.8,108.8,108.8,108.8,0,0
IMG_MV,D,20130909,000000,109.8,109.8,108.69,109.8,0,0
IMG_MV,D,20130910,000000,109.91,110.91,109.8,109.8,0,0
IMG_MV,D,20130911,000000,110.36,110.36,105.37,105.37,0,0
IMG_MV,D,20130913,000000,108.69,108.69,99.93,103.7,0,0
IMG_MV,D,20130916,000000,103.7,103.7,103.7,103.7,0,0
IMG_MV,D,20130917,000000,106.47,106.47,106.47,106.47,0,0
IMG_MV,D,20130918,000000,110.25,110.25,105.03,105.03,0,0
IMG_MV,D,20130919,000000,101.37,101.37,98.71,99.82,0,0
IMG_MV,D,20130920,000000,107.47,107.47,107.47,107.47,0,0
IMG_MV,D,20130924,000000,107.03,107.03,107.03,107.03,0,0
IMG_MV,D,20130925,000000,102.59,107.14,102.59,107.14,0,0
IMG_MV,D,20130926,000000,108.69,109.25,103.15,108.58,0,0
IMG_MV,D,20130927,000000,103.81,108.69,103.15,103.7,0,0
IMG_MV,D,20130930,000000,105.37,105.37,105.37,105.37,0,0
IMG_MV,D,20131001,000000,103.7,105.37,103.7,105.37,0,0
IMG_MV,D,20131002,000000,105.37,105.37,105.37,105.37,0,0
IMG_MV,D,20131003,000000,105.37,105.37,105.37,105.37,0,0
IMG_MV,D,20131004,000000,105.37,105.37,101.26,103.15,0,0
IMG_MV,D,20131007,000000,105.37,105.37,105.37,105.37,0,0
IMG_MV,D,20131008,000000,104.81,104.81,103.15,104.26,0,0
IMG_MV,D,20131009,000000,102.04,105.37,102.04,105.37,0,0
IMG_MV,D,20131010,000000,104.81,104.81,104.81,104.81,0,0
IMG_MV,D,20131011,000000,104.81,105.37,104.26,104.26,0,0
IMG_MV,D,20131014,000000,105.37,105.37,105.25,105.25,0,0
IMG_MV,D,20131015,000000,105.37,105.37,105.37,105.37,0,0
IMG_MV,D,20131016,000000,105.25,117.57,105.25,105.92,0,0
IMG_MV,D,20131017,000000,110.91,110.91,105.48,105.48,0,0
IMG_MV,D,20131018,000000,105.59,105.59,105.48,105.48,0,0
IMG_MV,D,20131021,000000,105.59,126.55,105.59,110.69,0,0
IMG_MV,D,20131022,000000,115.35,115.35,111.47,112.02,0,0
IMG_MV,D,20131023,000000,114.24,116.46,110.91,116.46,0,0
IMG_MV,D,20131024,000000,115.35,115.35,112.8,112.8,0,0
IMG_MV,D,20131025,000000,112.91,120.89,112.8,120.89,0,0
IMG_MV,D,20131028,000000,120.89,132.43,120.89,132.43,0,0
IMG_MV,D,20131029,000000,130.88,134.31,122,131.98,0,0
IMG_MV,D,20131030,000000,131.98,132.54,131.87,132.43,0,0
IMG_MV,D,20131031,000000,131.98,133.09,128.1,133.09,0,0
IMG_MV,D,20131104,000000,133.09,138.64,133.09,138.64,0,0
IMG_MV,D,20131105,000000,139.19,141.97,134.2,141.86,0,0
IMG_MV,D,20131106,000000,140.86,144.18,140.86,143.85,0,0
IMG_MV,D,20131107,000000,144.18,144.18,141.97,144.18,0,0
IMG_MV,D,20131108,000000,144.18,144.18,142.52,144.18,0,0
IMG_MV,D,20131112,000000,144.07,144.07,139.19,143.3,0,0
IMG_MV,D,20131113,000000,143.52,143.52,140.86,143.08,0,0
IMG_MV,D,20131114,000000,143.08,143.08,140.52,141.97,0,0
IMG_MV,D,20131115,000000,140.86,143.08,140.86,140.86,0,0
